Industry,Persona ID,Persona Label
Beauty & Wellness,hair-salon,"Hair Salon / Hairstylist"
Beauty & Wellness,barber,"Barber / Barbershop"
Beauty & Wellness,nail-tech,"Nail Tech / Nail Salon"
Beauty & Wellness,lash-brow-tech,"Lash & Brow Tech"
Beauty & Wellness,makeup-artist,"Makeup Artist"
Beauty & Wellness,spa-massage,"Spa / Massage"
Trades & Construction,plumber,"Plumber"
Trades & Construction,electrician,"Electrician"
Trades & Construction,builder-carpenter,"Builder / Carpenter"
Trades & Construction,painter,"Painter"
Trades & Construction,hvac-technician,"HVAC Technician"
Trades & Construction,landscaper,"Landscaper"
Trades & Construction,cleaner,"Cleaner"
Professional Services,accountant-bookkeeper,"Accountant / Bookkeeper"
Professional Services,lawyer-solicitor,"Lawyer / Solicitor"
Professional Services,consultant,"Consultant"
Professional Services,real-estate-agent,"Real Estate Agent"
Professional Services,financial-advisor,"Financial Advisor"
Professional Services,marketing-agency,"Marketing Agency"
Health & Fitness,personal-trainer,"Personal Trainer"
Health & Fitness,gym-studio-owner,"Gym / Studio Owner"
Health & Fitness,yoga-pilates,"Yoga / Pilates Studio"
Health & Fitness,physio-chiro,"Physio / Chiro"
Health & Fitness,nutritionist,"Nutritionist"
Creative & Design,photographer,"Photographer"
Creative & Design,graphic-designer,"Graphic Designer"
Creative & Design,web-designer-developer,"Web Designer / Developer"
Creative & Design,videographer,"Videographer"
Creative & Design,interior-designer,"Interior Designer"
Hospitality & Events,wedding-planner,"Wedding Planner"
Hospitality & Events,event-planner,"Event Planner"
Hospitality & Events,caterer,"Caterer"
Hospitality & Events,venue-manager,"Venue Manager"
Hospitality & Events,florist,"Florist"
Education & Coaching,tutor,"Tutor"
Education & Coaching,life-business-coach,"Life / Business Coach"
Education & Coaching,music-teacher,"Music Teacher"
Education & Coaching,driving-instructor,"Driving Instructor"
Education & Coaching,online-course-creator,"Online Course Creator"
Retail & E-commerce,online-store,"Online Store"
Retail & E-commerce,boutique-shop,"Boutique Shop"
Retail & E-commerce,handmade-artisan,"Handmade / Artisan"
Retail & E-commerce,food-beverage,"Food & Beverage"
